pic_name,Name,R.A.,Decl.,epoch,rms,V_peak,V_peak_err,FWHM,FWHM_err,T_peak,Area,Area_err,6.7GHz_CH3OH_maser?,RRLs?,distance_bayesian,distance_bayesian_err,d_kin
J183426.64,G22.835-0.438,18 34 26.65,-9 10 42.6,20160715,0.036971059,60.14724679,0.295069681,6.377457758,0.694847414,-0.115408381,-0.783460578,0.073931334,,H,3.56,0.38,3.777602819
J183426.64,G22.835-0.438,18 34 26.65,-9 10 42.6,20160715,0.036971059,76.91049563,0.067569444,5.55603369,0.159116435,-0.470507634,-2.782683127,0.069013714,,H,4.65,0.52,4.470314511
J183352.08,G22.873-0.258,18 33 52.08,-9 03 41.5,20160715,0.050876901,59.92859692,0.135960363,2.220956125,0.320165374,-0.161183279,-0.381058957,0.047577594,,H,3.49,0.31,3.765721601
J183430.03,G22.877-0.432,18 34 30.04,-9 08 19.7,20160715,0.04678978,76.49092671,0.055291555,4.37817026,0.130202961,-0.617655901,-2.878534584,0.074135105,,H,4.65,0.52,4.45205512
J183422.64,G22.953-0.358,18 34 22.64,-9 02 14.4,20160715,0.036663111,60.26436319,0.496540875,8.464477225,1.169729294,-0.07225409,-0.651020684,0.077872725,,,3.5,0.3,
J183422.64,G22.953-0.358,18 34 22.64,-9 02 14.4,20160715,0.036663111,74.89824377,0.122645507,3.137795143,0.288855814,-0.178059907,-0.594734235,0.047411936,,H,4.72,0.48,4.385783106
J183322.05,G22.967-0.070,18 33 22.05,-8 53 29.4,20160715,0.044793267,53.0281484,0.092623923,2.469514947,0.218114845,-0.207194256,-0.544655107,0.041658392,,,3.42,0.33,
J183346.04,G22.997-0.166,18 33 46.04,-8 54 32.5,20160715,0.041033447,52.97155567,0.055327947,2.490454621,0.130288658,-0.342182693,-0.907128648,0.041098512,,,3.43,0.33,
J183346.04,G22.997-0.166,18 33 46.04,-8 54 32.5,20160715,0.041033447,63.94579316,0.089046819,2.55487499,0.209691323,-0.215354133,-0.585672828,0.04162779,,,4.81,0.56,
J183346.04,G22.997-0.166,18 33 46.04,-8 54 32.5,20160715,0.041033447,78.82311289,0.218586997,5.618857642,0.549876437,-0.134682797,-0.805549746,0.065432309,,,4.8,0.44,
J183346.04,G22.997-0.166,18 33 46.04,-8 54 32.5,20160715,0.041033447,85.79817743,0.125312361,2.764059902,0.299408395,-0.166979692,-0.491296099,0.047072903,,,4.8,0.48,
J183433.43,G23.009-0.379,18 34 33.44,-8 59 47.0,20160715,0.060333844,74.90449773,0.086471562,4.596156214,0.203626999,-0.469227053,-2.295673041,0.088079917,Y,H,4.71,0.5,4.38355255
J183309.89,G23.064+0.037,18 33 09.89,-8 45 24.2,20160716,0.044888474,92.22045254,0.113585772,4.035311707,0.267476719,-0.328429717,-1.410755473,0.080983262,,,5.04,0.56,
J183352.00,G23.071-0.155,18 33 52.00,-8 50 17.5,20160716,0.052918646,53.25046924,0.145759394,2.561729922,0.343240566,-0.253838461,-0.692186264,0.080321565,,,3.44,0.33,
J183352.00,G23.071-0.155,18 33 52.00,-8 50 17.5,20160716,0.052918646,85.01172075,0.187181152,3.795097098,0.440782322,-0.240604929,-0.971985134,0.09776668,,,4.81,0.48,
J183450.61,G23.096-0.414,18 34 50.62,-8 56 06.5,20160716,0.043488331,62.61998613,0.075117542,1.913128477,0.176890051,-0.236760603,-0.482154011,0.038607523,,H,4.67,0.63,
J183450.61,G23.096-0.414,18 34 50.62,-8 56 06.5,20160716,0.043488331,71.62355066,0.103430986,3.440859234,0.250342741,-0.233301101,-0.85450755,0.05290513,Y,,4.69,0.55,
J183450.61,G23.096-0.414,18 34 50.62,-8 56 06.5,20160716,0.043488331,77.58498682,0.0535945,2.936246208,0.12906177,-0.416763553,-1.302610009,0.048936703,Y,,4.69,0.52,
J183409.37,G23.172-0.183,18 34 09.37,-8 45 41.8,20160820,0.048557844,53.56094706,0.118752511,2.594399293,0.27964358,-0.185692327,-0.512817675,0.047870047,,H,3.46,0.33,3.460401503
J183409.37,G23.172-0.183,18 34 09.37,-8 45 41.8,20160820,0.048557844,94.13669353,0.15145446,2.638973099,0.356651534,-0.146844619,-0.412501195,0.048279751,,H,5.14,0.61,
J183453.22,G23.185-0.380,18 34 53.23,-8 50 27.4,20160717,0.045385633,57.27834661,0.109705928,3.329822505,0.258340297,-0.227232045,-0.805420854,0.054115879,,H,3.53,0.36,
J183453.22,G23.185-0.380,18 34 53.23,-8 50 27.4,20160717,0.045385633,77.09654336,0.0350808,3.123054918,0.082609794,-0.688205188,-2.28786173,0.052409284,Y,H,4.72,0.52,4.462696824
J183330.07,G23.202+0.015,18 33 30.08,-8 38 36.7,20160717,0.032103296,76.47502444,0.137071758,4.402220532,0.322782544,-0.157303172,-0.737125585,0.046807935,,,4.86,0.46,
J183330.07,G23.202+0.015,18 33 30.08,-8 38 36.7,20160717,0.032103296,94.26617742,0.079604915,6.04705952,0.18745712,-0.317471288,-2.043529483,0.05486142,,,5.16,0.58,
